Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory,molprofil
X2723,dacarbazine,chemotherapy,single,302.1,20,93.8,13,5.0,23,PD,X2723
X2753,dacarbazine,chemotherapy,single,531.0,22,42.9,13,11.6,22,PD,X2753
X2780,paclitaxel,Tubulin,single,155.6,20,18.7,13,15.5,35,PD,X2780
X2822,5FU,chemotherapy,single,3.1,11,0.7,11,40.6,91,SD-->PD,X2822
X2838,dacarbazine,chemotherapy,single,-40.9,14,-21.5,22,35.1,39,SD-->PD,X2838
X2846,5FU,chemotherapy,single,53.1,23,37.7,13,24.7,62,PD,X2846
X2861,5FU,chemotherapy,single,67.0,21,33.7,11,33.0,33,PD,X2861
X2921,dacarbazine,chemotherapy,single,-81.1,19,-61.7,29,53.9,55,PR-->PD,X2921
X2992,dacarbazine,chemotherapy,single,42.2,13,23.9,11,13.0,13,PD,#HIÁNYZIK
X2997,abraxane,Tubulin,single,414.9,22,77.1,12,7.9,26,PD,X2997
X3028,abraxane,Tubulin,single,128.9,20,23.9,14,18.3,24,PD,X3028
X3029,paclitaxel,Tubulin,single,-55.0,18,-32.2,35,82.8,88,PR-->PD,X3029
X3038,abraxane,Tubulin,single,71.4,23,47.7,13,18.5,51,PD,X3038
X3052,abraxane,Tubulin,single,135.6,21,26.8,11,17.0,36,PD,X3052
X3052,gemcitabine-50mpk,chemotherapy,single,238.5,21,66.2,14,7.6,35,PD,X3052
X3077,paclitaxel,Tubulin,single,6.8,13,6.5,13,23.3,41,SD-->PD,X3077
X3078,paclitaxel,Tubulin,single,-75.7,38,-54.4,45,94.0,94,PR-->PD,X3078
X3093,5FU,chemotherapy,single,181.5,20,101.8,13,5.1,27,PD,X3093
X3127,dacarbazine,chemotherapy,single,-100.0,136,-79.8,136,136.0,136,CR,X3127
X3201,paclitaxel,Tubulin,single,-31.5,34,-14.2,49,88.5,105,SD-->PD,X3201
X3205,5FU,chemotherapy,single,102.9,22,41.3,14,20.9,22,PD,X3205
X3209,gemcitabine-50mpk,chemotherapy,single,-9.6,20,-1.1,14,69.0,70,SD-->PD,#HIÁNYZIK
X3209,abraxane,Tubulin,single,96.3,20,21.2,13,20.6,44,PD,#HIÁNYZIK
X3211,dacarbazine,chemotherapy,single,-3.6,22,5.5,22,34.0,34,SD,X3211
X3224,5FU,chemotherapy,single,30.7,20,9.7,12,24.0,24,SD-->PD,X3224
X3237,paclitaxel,Tubulin,single,199.6,21,27.9,11,12.8,27,PD,X3237
X3267,5FU,chemotherapy,single,-37.1,82,-13.2,89,89.0,89,SD,X3267
X3268,abraxane,Tubulin,single,137.4,21,39.1,11,13.5,28,PD,X3268
X3268,gemcitabine-50mpk,chemotherapy,single,32.6,26,33.4,14,26.0,26,PD,X3268
X3298,paclitaxel,Tubulin,single,-95.2,90,-78.5,90,90.0,90,CR,X3298
X3450,paclitaxel,Tubulin,single,78.2,21,30.3,14,29.5,63,PD,X3450
X3468,paclitaxel,Tubulin,single,-34.9,76,-10.4,105,130.4,154,SD-->-->PD,X3468
X3483,dacarbazine,chemotherapy,single,-100.0,51,-83.7,119,119.0,119,CR,X3483
X3486,dacarbazine,chemotherapy,single,81.9,15,35.5,11,15.0,15,PD,X3486
X3503,dacarbazine,chemotherapy,single,80.1,23,28.3,14,25.7,30,PD,X3503
X3671,5FU,chemotherapy,single,230.0,21,66.3,14,9.5,36,PD,X3671
X3676,dacarbazine,chemotherapy,single,359.9,11,172.0,11,4.0,11,PD,X3676
X3697,paclitaxel,Tubulin,single,2.9,20,4.6,20,51.0,51,SD-->PD,X3697
X3746,dacarbazine,chemotherapy,single,105.3,20,16.2,12,18.6,23,PD,X3746
X3773,dacarbazine,chemotherapy,single,9.2,10,6.4,14,130.0,130,SD-->PD,X3773
X3782,abraxane,Tubulin,single,-7.7,20,14.4,13,24.3,50,SD-->PD,X3782
X3782,gemcitabine-50mpk,chemotherapy,single,131.8,24,35.5,14,17.4,35,PD,X3782
X3792,5FU,chemotherapy,single,74.3,21,41.1,14,27.0,27,PD,X3792
X3800,gemcitabine-50mpk,chemotherapy,single,-44.9,91,-0.8,94,94.0,94,SD,X3800
X3800,abraxane,Tubulin,single,250.6,21,57.2,11,12.6,21,PD,X3800
X3816,gemcitabine-50mpk,chemotherapy,single,47.4,25,18.5,14,54.4,81,PD,X3816
X3816,abraxane,Tubulin,single,66.0,20,7.3,11,25.1,60,PD,X3816
X3843,paclitaxel,Tubulin,single,89.9,27,7.4,11,27.9,54,PD,X3843
X3846,gemcitabine-50mpk,chemotherapy,single,39.6,21,28.1,14,33.4,53,PD,X3846
X3846,abraxane,Tubulin,single,201.2,21,21.5,13,13.3,24,PD,X3846
X3851,dacarbazine,chemotherapy,single,-90.9,80,-54.9,104,140.8,141,PR-->-->PD,X3851
